region	chr	midPos	Nsites
(120298,120797)(120300,120799)(120300,120800)	Mt	120550	501	0.150688
(120398,120897)(120400,120899)(120400,120900)	Mt	120650	501	0.149691
(120498,120997)(120500,120999)(120500,121000)	Mt	120750	501	0.148182
(120598,121097)(120600,121099)(120600,121100)	Mt	120850	501	0.217143
(120698,121197)(120700,121199)(120700,121200)	Mt	120950	501	0.210801
(120798,121297)(120800,121299)(120800,121300)	Mt	121050	501	0.200789
(120898,121397)(120900,121399)(120900,121400)	Mt	121150	501	0.197438
(120998,121497)(121000,121499)(121000,121500)	Mt	121250	501	0.206667
(121098,121597)(121100,121599)(121100,121600)	Mt	121350	501	0.145250
(121198,121697)(121200,121699)(121200,121700)	Mt	121450	501	0.143590
(121298,121797)(121300,121799)(121300,121800)	Mt	121550	501	0.145425
(121398,121897)(121400,121899)(121400,121900)	Mt	121650	501	0.146620
(121498,121997)(121500,121999)(121500,122000)	Mt	121750	501	0.126068
(121598,122097)(121600,122099)(121600,122100)	Mt	121850	501	0.128753
(121698,122197)(121700,122199)(121700,122200)	Mt	121950	501	0.131701
(121798,122297)(121800,122299)(121800,122300)	Mt	122050	501	0.126790
(121898,122397)(121900,122399)(121900,122400)	Mt	122150	501	0.128934
(121998,122497)(122000,122499)(122000,122500)	Mt	122250	501	0.143158
(122098,122597)(122100,122599)(122100,122600)	Mt	122350	501	0.143101
(122198,122697)(122200,122699)(122200,122700)	Mt	122450	501	0.140341
(122298,122797)(122300,122799)(122300,122800)	Mt	122550	501	0.141440
(122398,122897)(122400,122899)(122400,122900)	Mt	122650	501	0.205475
(122498,122997)(122500,122999)(122500,123000)	Mt	122750	501	0.196388
(122598,123097)(122600,123099)(122600,123100)	Mt	122850	501	0.196682
(122698,123197)(122700,123199)(122700,123200)	Mt	122950	501	0.199470
(122798,123297)(122800,123299)(122800,123300)	Mt	123050	501	0.232761
(122898,123397)(122900,123399)(122900,123400)	Mt	123150	501	0.203518
(122998,123497)(123000,123499)(123000,123500)	Mt	123250	501	0.204402
(123098,123597)(123100,123599)(123100,123600)	Mt	123350	501	0.204309
(123198,123697)(123200,123699)(123200,123700)	Mt	123450	501	0.202755
(123298,123797)(123300,123799)(123300,123800)	Mt	123550	501	0.109867
(123398,123897)(123400,123899)(123400,123900)	Mt	123650	501	0.117589
(123498,123997)(123500,123999)(123500,124000)	Mt	123750	501	0.119635
(123598,124097)(123600,124099)(123600,124100)	Mt	123850	501	0.120127
(123698,124197)(123700,124199)(123700,124200)	Mt	123950	501	0.120748
(123798,124297)(123800,124299)(123800,124300)	Mt	124050	501	0.121368
(123898,124397)(123900,124399)(123900,124400)	Mt	124150	501	0.113753
(123998,124497)(124000,124499)(124000,124500)	Mt	124250	501	0.111082
(124098,124597)(124100,124599)(124100,124600)	Mt	124350	501	0.110695
(124198,124697)(124200,124699)(124200,124700)	Mt	124450	501	0.107484
(124298,124797)(124300,124799)(124300,124800)	Mt	124550	501	0.108405
(124398,124897)(124400,124899)(124400,124900)	Mt	124650	501	0.109776
(124498,124997)(124500,124999)(124500,125000)	Mt	124750	501	0.114926
(124598,125097)(124600,125099)(124600,125100)	Mt	124850	501	0.117441
(124698,125197)(124700,125199)(124700,125200)	Mt	124950	501	0.120747
(124798,125297)(124800,125299)(124800,125300)	Mt	125050	501	0.120029
(124898,125397)(124900,125399)(124900,125400)	Mt	125150	501	0.127992
(124998,125497)(125000,125499)(125000,125500)	Mt	125250	501	0.124805
(125098,125597)(125100,125599)(125100,125600)	Mt	125350	501	0.142659
(125198,125697)(125200,125699)(125200,125700)	Mt	125450	501	0.140387
(125298,125797)(125300,125799)(125300,125800)	Mt	125550	501	0.143182
(125398,125897)(125400,125899)(125400,125900)	Mt	125650	501	0.140084
(125498,125997)(125500,125999)(125500,126000)	Mt	125750	501	0.174528
(125598,126097)(125600,126099)(125600,126100)	Mt	125850	501	0.172198
(125698,126197)(125700,126199)(125700,126200)	Mt	125950	501	0.174994
(125798,126297)(125800,126299)(125800,126300)	Mt	126050	501	0.174599
(125898,126397)(125900,126399)(125900,126400)	Mt	126150	501	0.180586
(125998,126497)(126000,126499)(126000,126500)	Mt	126250	501	0.150445
(126098,126597)(126100,126599)(126100,126600)	Mt	126350	501	0.142238
(126198,126697)(126200,126699)(126200,126700)	Mt	126450	501	0.143722
(126298,126797)(126300,126799)(126300,126800)	Mt	126550	501	0.140365
(126398,126897)(126400,126899)(126400,126900)	Mt	126650	501	0.138814
(126498,126997)(126500,126999)(126500,127000)	Mt	126750	501	0.138461
(126598,127097)(126600,127099)(126600,127100)	Mt	126850	501	0.198325
(126698,127197)(126700,127199)(126700,127200)	Mt	126950	501	0.204995
(126798,127297)(126800,127299)(126800,127300)	Mt	127050	501	0.213759
(126898,127397)(126900,127399)(126900,127400)	Mt	127150	501	0.235235
(126998,127497)(127000,127499)(127000,127500)	Mt	127250	501	0.230933
(127098,127597)(127100,127599)(127100,127600)	Mt	127350	501	0.150003
(127198,127697)(127200,127699)(127200,127700)	Mt	127450	501	0.150552
(127298,127797)(127300,127799)(127300,127800)	Mt	127550	501	0.152512
(127398,127897)(127400,127899)(127400,127900)	Mt	127650	501	0.129994
(127498,127997)(127500,127999)(127500,128000)	Mt	127750	501	0.129946
(127598,128097)(127600,128099)(127600,128100)	Mt	127850	501	0.171462
(127698,128197)(127700,128199)(127700,128200)	Mt	127950	501	0.170513
(127798,128297)(127800,128299)(127800,128300)	Mt	128050	501	0.173326
(127898,128397)(127900,128399)(127900,128400)	Mt	128150	501	0.170870
(127998,128497)(128000,128499)(128000,128500)	Mt	128250	501	0.169982
(128098,128597)(128100,128599)(128100,128600)	Mt	128350	501	0.124004
(128198,128697)(128200,128699)(128200,128700)	Mt	128450	501	0.124998
(128298,128797)(128300,128799)(128300,128800)	Mt	128550	501	0.177817
(128398,128897)(128400,128899)(128400,128900)	Mt	128650	501	0.182822
(128498,128997)(128500,128999)(128500,129000)	Mt	128750	501	0.183184
(128598,129097)(128600,129099)(128600,129100)	Mt	128850	501	0.185382
(128698,129197)(128700,129199)(128700,129200)	Mt	128950	501	0.189250
(128798,129297)(128800,129299)(128800,129300)	Mt	129050	501	0.117815
(128898,129397)(128900,129399)(128900,129400)	Mt	129150	501	0.124621
(128998,129497)(129000,129499)(129000,129500)	Mt	129250	501	0.127078
(129098,129597)(129100,129599)(129100,129600)	Mt	129350	501	0.127328
(129198,129697)(129200,129699)(129200,129700)	Mt	129450	501	0.124623
(129298,129797)(129300,129799)(129300,129800)	Mt	129550	501	0.123853
(129398,129897)(129400,129899)(129400,129900)	Mt	129650	501	0.119220
(129498,129997)(129500,129999)(129500,130000)	Mt	129750	501	0.127575
(129598,130097)(129600,130099)(129600,130100)	Mt	129850	501	0.153426
(129698,130197)(129700,130199)(129700,130200)	Mt	129950	501	0.117076
(129798,130297)(129800,130299)(129800,130300)	Mt	130050	501	0.108412
(129898,130397)(129900,130399)(129900,130400)	Mt	130150	501	0.109589
(129998,130497)(130000,130499)(130000,130500)	Mt	130250	501	0.118250
(130098,130597)(130100,130599)(130100,130600)	Mt	130350	501	0.117905
(130198,130697)(130200,130699)(130200,130700)	Mt	130450	501	0.122252
(130298,130797)(130300,130799)(130300,130800)	Mt	130550	501	0.123275
(130398,130897)(130400,130899)(130400,130900)	Mt	130650	501	0.126517
(130498,130997)(130500,130999)(130500,131000)	Mt	130750	501	0.113931
(130598,131097)(130600,131099)(130600,131100)	Mt	130850	501	0.106677
(130698,131197)(130700,131199)(130700,131200)	Mt	130950	501	0.106038
(130798,131297)(130800,131299)(130800,131300)	Mt	131050	501	0.102693
(130898,131397)(130900,131399)(130900,131400)	Mt	131150	501	0.091623
(130998,131497)(131000,131499)(131000,131500)	Mt	131250	501	0.092770
(131098,131597)(131100,131599)(131100,131600)	Mt	131350	501	0.086724
(131198,131697)(131200,131699)(131200,131700)	Mt	131450	501	0.080866
(131298,131797)(131300,131799)(131300,131800)	Mt	131550	501	0.075360
(131398,131897)(131400,131899)(131400,131900)	Mt	131650	501	0.082054
(131498,131997)(131500,131999)(131500,132000)	Mt	131750	501	0.081399
(131598,132097)(131600,132099)(131600,132100)	Mt	131850	501	0.085526
(131698,132197)(131700,132199)(131700,132200)	Mt	131950	501	0.084732
(131798,132297)(131800,132299)(131800,132300)	Mt	132050	501	0.091619
(131898,132397)(131900,132399)(131900,132400)	Mt	132150	501	0.089355
(131998,132497)(132000,132499)(132000,132500)	Mt	132250	501	0.088146
(132098,132597)(132100,132599)(132100,132600)	Mt	132350	501	0.085466
(132198,132697)(132200,132699)(132200,132700)	Mt	132450	501	0.088724
(132298,132797)(132300,132799)(132300,132800)	Mt	132550	501	0.090143
(132398,132897)(132400,132899)(132400,132900)	Mt	132650	501	0.094655
(132498,132997)(132500,132999)(132500,133000)	Mt	132750	501	0.099543
(132598,133097)(132600,133099)(132600,133100)	Mt	132850	501	0.104802
(132698,133197)(132700,133199)(132700,133200)	Mt	132950	501	0.101845
(132798,133297)(132800,133299)(132800,133300)	Mt	133050	501	0.106662
(132898,133397)(132900,133399)(132900,133400)	Mt	133150	501	0.097903
(132998,133497)(133000,133499)(133000,133500)	Mt	133250	501	0.095220
(133098,133597)(133100,133599)(133100,133600)	Mt	133350	501	0.097235
(133198,133697)(133200,133699)(133200,133700)	Mt	133450	501	0.112557
(133298,133797)(133300,133799)(133300,133800)	Mt	133550	501	0.111342
(133398,133897)(133400,133899)(133400,133900)	Mt	133650	501	0.114882
(133498,133997)(133500,133999)(133500,134000)	Mt	133750	501	0.116831
(133598,134097)(133600,134099)(133600,134100)	Mt	133850	501	0.110200
(133698,134197)(133700,134199)(133700,134200)	Mt	133950	501	0.099418
(133798,134297)(133800,134299)(133800,134300)	Mt	134050	501	0.093110
(133898,134397)(133900,134399)(133900,134400)	Mt	134150	501	0.097216
(133998,134497)(134000,134499)(134000,134500)	Mt	134250	501	0.098397
(134098,134597)(134100,134599)(134100,134600)	Mt	134350	501	0.107780
(134198,134697)(134200,134699)(134200,134700)	Mt	134450	501	0.104947
(134298,134797)(134300,134799)(134300,134800)	Mt	134550	501	0.110774
(134398,134897)(134400,134899)(134400,134900)	Mt	134650	501	0.108904
(134498,134997)(134500,134999)(134500,135000)	Mt	134750	501	0.103974
(134598,135097)(134600,135099)(134600,135100)	Mt	134850	501	0.098297
(134698,135197)(134700,135199)(134700,135200)	Mt	134950	501	0.102837
(134798,135297)(134800,135299)(134800,135300)	Mt	135050	501	0.111337
(134898,135397)(134900,135399)(134900,135400)	Mt	135150	501	0.113022
(134998,135497)(135000,135499)(135000,135500)	Mt	135250	501	0.116924
(135098,135597)(135100,135599)(135100,135600)	Mt	135350	501	0.116212
(135198,135697)(135200,135699)(135200,135700)	Mt	135450	501	0.114792
(135298,135797)(135300,135799)(135300,135800)	Mt	135550	501	0.098440
(135398,135897)(135400,135899)(135400,135900)	Mt	135650	501	0.098319
(135498,135997)(135500,135999)(135500,136000)	Mt	135750	501	0.099069
(135598,136097)(135600,136099)(135600,136100)	Mt	135850	501	0.103303
(135698,136197)(135700,136199)(135700,136200)	Mt	135950	501	0.108628
(135798,136297)(135800,136299)(135800,136300)	Mt	136050	501	0.121201
(135898,136397)(135900,136399)(135900,136400)	Mt	136150	501	0.117247
(135998,136497)(136000,136499)(136000,136500)	Mt	136250	501	0.114937
(136098,136597)(136100,136599)(136100,136600)	Mt	136350	501	0.112114
(136198,136697)(136200,136699)(136200,136700)	Mt	136450	501	0.110481
(136298,136797)(136300,136799)(136300,136800)	Mt	136550	501	0.102549
(136398,136897)(136400,136899)(136400,136900)	Mt	136650	501	0.103850
(136498,136997)(136500,136999)(136500,137000)	Mt	136750	501	0.112228
(136598,137097)(136600,137099)(136600,137100)	Mt	136850	501	0.108435
(136698,137197)(136700,137199)(136700,137200)	Mt	136950	501	0.111049
(136798,137297)(136800,137299)(136800,137300)	Mt	137050	501	0.109393
(136898,137397)(136900,137399)(136900,137400)	Mt	137150	501	0.105906
(136998,137497)(137000,137499)(137000,137500)	Mt	137250	501	0.090177
(137098,137597)(137100,137599)(137100,137600)	Mt	137350	501	0.100402
(137198,137697)(137200,137699)(137200,137700)	Mt	137450	501	0.089062
(137298,137797)(137300,137799)(137300,137800)	Mt	137550	501	0.093078
(137398,137897)(137400,137899)(137400,137900)	Mt	137650	501	0.090857
(137498,137997)(137500,137999)(137500,138000)	Mt	137750	501	0.096805
(137598,138097)(137600,138099)(137600,138100)	Mt	137850	501	0.099078
(137698,138197)(137700,138199)(137700,138200)	Mt	137950	501	0.112176
(137798,138297)(137800,138299)(137800,138300)	Mt	138050	501	0.111335
(137898,138397)(137900,138399)(137900,138400)	Mt	138150	501	0.116833
(137998,138497)(138000,138499)(138000,138500)	Mt	138250	501	0.124756
(138098,138597)(138100,138599)(138100,138600)	Mt	138350	501	0.115833
(138198,138697)(138200,138699)(138200,138700)	Mt	138450	501	0.112432
(138298,138797)(138300,138799)(138300,138800)	Mt	138550	501	0.123503
(138398,138897)(138400,138899)(138400,138900)	Mt	138650	501	0.124013
(138498,138997)(138500,138999)(138500,139000)	Mt	138750	501	0.121431
(138598,139097)(138600,139099)(138600,139100)	Mt	138850	501	0.119215
(138698,139197)(138700,139199)(138700,139200)	Mt	138950	501	0.112330
(138798,139297)(138800,139299)(138800,139300)	Mt	139050	501	0.097042
(138898,139397)(138900,139399)(138900,139400)	Mt	139150	501	0.093396
(138998,139497)(139000,139499)(139000,139500)	Mt	139250	501	0.090657
(139098,139597)(139100,139599)(139100,139600)	Mt	139350	501	0.095535
(139198,139697)(139200,139699)(139200,139700)	Mt	139450	501	0.099270
(139298,139797)(139300,139799)(139300,139800)	Mt	139550	501	0.101889
(139398,139897)(139400,139899)(139400,139900)	Mt	139650	501	0.101895
(139498,139997)(139500,139999)(139500,140000)	Mt	139750	501	0.102829
(139598,140097)(139600,140099)(139600,140100)	Mt	139850	501	0.095696
(139698,140197)(139700,140199)(139700,140200)	Mt	139950	501	0.098610
(139798,140297)(139800,140299)(139800,140300)	Mt	140050	501	0.100661
(139898,140397)(139900,140399)(139900,140400)	Mt	140150	501	0.101629
(139998,140497)(140000,140499)(140000,140500)	Mt	140250	501	0.096877
(140098,140597)(140100,140599)(140100,140600)	Mt	140350	501	0.098812
(140198,140697)(140200,140699)(140200,140700)	Mt	140450	501	0.095564
(140298,140797)(140300,140799)(140300,140800)	Mt	140550	501	0.103896
(140398,140897)(140400,140899)(140400,140900)	Mt	140650	501	0.102852
(140498,140997)(140500,140999)(140500,141000)	Mt	140750	501	0.104114
(140598,141097)(140600,141099)(140600,141100)	Mt	140850	501	0.104611
(140698,141197)(140700,141199)(140700,141200)	Mt	140950	501	0.105759
(140798,141297)(140800,141299)(140800,141300)	Mt	141050	501	0.092322
(140898,141397)(140900,141399)(140900,141400)	Mt	141150	501	0.090163
(140998,141497)(141000,141499)(141000,141500)	Mt	141250	501	0.092382
(141098,141597)(141100,141599)(141100,141600)	Mt	141350	501	0.089312
(141198,141697)(141200,141699)(141200,141700)	Mt	141450	501	0.088134
(141298,141797)(141300,141799)(141300,141800)	Mt	141550	501	0.094750
(141398,141897)(141400,141899)(141400,141900)	Mt	141650	501	0.101160
(141498,141997)(141500,141999)(141500,142000)	Mt	141750	501	0.103353
(141598,142097)(141600,142099)(141600,142100)	Mt	141850	501	0.107465
(141698,142197)(141700,142199)(141700,142200)	Mt	141950	501	0.101506
(141798,142297)(141800,142299)(141800,142300)	Mt	142050	501	0.102306
(141898,142397)(141900,142399)(141900,142400)	Mt	142150	501	0.099004
(141998,142497)(142000,142499)(142000,142500)	Mt	142250	501	0.104537
(142098,142597)(142100,142599)(142100,142600)	Mt	142350	501	0.120598
(142198,142697)(142200,142699)(142200,142700)	Mt	142450	501	0.128013
(142298,142797)(142300,142799)(142300,142800)	Mt	142550	501	0.120515
(142398,142897)(142400,142899)(142400,142900)	Mt	142650	501	0.116831
(142498,142997)(142500,142999)(142500,143000)	Mt	142750	501	0.107800
(142598,143097)(142600,143099)(142600,143100)	Mt	142850	501	0.089919
(142698,143197)(142700,143199)(142700,143200)	Mt	142950	501	0.091060
(142798,143297)(142800,143299)(142800,143300)	Mt	143050	501	0.090373
(142898,143397)(142900,143399)(142900,143400)	Mt	143150	501	0.094619
(142998,143497)(143000,143499)(143000,143500)	Mt	143250	501	0.100175
(143098,143597)(143100,143599)(143100,143600)	Mt	143350	501	0.101880
(143198,143697)(143200,143699)(143200,143700)	Mt	143450	501	0.102370
(143298,143797)(143300,143799)(143300,143800)	Mt	143550	501	0.108028
(143398,143897)(143400,143899)(143400,143900)	Mt	143650	501	0.109704
(143498,143997)(143500,143999)(143500,144000)	Mt	143750	501	0.109623
(143598,144097)(143600,144099)(143600,144100)	Mt	143850	501	0.116071
(143698,144197)(143700,144199)(143700,144200)	Mt	143950	501	0.109969
(143798,144297)(143800,144299)(143800,144300)	Mt	144050	501	0.106159
(143898,144397)(143900,144399)(143900,144400)	Mt	144150	501	0.107377
(143998,144497)(144000,144499)(144000,144500)	Mt	144250	501	0.101482
(144098,144597)(144100,144599)(144100,144600)	Mt	144350	501	0.096066
(144198,144697)(144200,144699)(144200,144700)	Mt	144450	501	0.099609
(144298,144797)(144300,144799)(144300,144800)	Mt	144550	501	0.102670
(144398,144897)(144400,144899)(144400,144900)	Mt	144650	501	0.102180
(144498,144997)(144500,144999)(144500,145000)	Mt	144750	501	0.106450
(144598,145097)(144600,145099)(144600,145100)	Mt	144850	501	0.114080
(144698,145197)(144700,145199)(144700,145200)	Mt	144950	501	0.111022
(144798,145297)(144800,145299)(144800,145300)	Mt	145050	501	0.107185
(144898,145397)(144900,145399)(144900,145400)	Mt	145150	501	0.107123
(144998,145497)(145000,145499)(145000,145500)	Mt	145250	501	0.107165
(145098,145597)(145100,145599)(145100,145600)	Mt	145350	501	0.102995
(145198,145697)(145200,145699)(145200,145700)	Mt	145450	501	0.099595
(145298,145797)(145300,145799)(145300,145800)	Mt	145550	501	0.104246
(145398,145897)(145400,145899)(145400,145900)	Mt	145650	501	0.107087
(145498,145997)(145500,145999)(145500,146000)	Mt	145750	501	0.115598
(145598,146097)(145600,146099)(145600,146100)	Mt	145850	501	0.124068
(145698,146197)(145700,146199)(145700,146200)	Mt	145950	501	0.131919
(145798,146297)(145800,146299)(145800,146300)	Mt	146050	501	0.127717
(145898,146397)(145900,146399)(145900,146400)	Mt	146150	501	0.125873
(145998,146497)(146000,146499)(146000,146500)	Mt	146250	501	0.114659
(146098,146597)(146100,146599)(146100,146600)	Mt	146350	501	0.098608
(146198,146697)(146200,146699)(146200,146700)	Mt	146450	501	0.101588
(146298,146797)(146300,146799)(146300,146800)	Mt	146550	501	0.113079
(146398,146897)(146400,146899)(146400,146900)	Mt	146650	501	0.107048
(146498,146997)(146500,146999)(146500,147000)	Mt	146750	501	0.112337
(146598,147097)(146600,147099)(146600,147100)	Mt	146850	501	0.119541
(146698,147197)(146700,147199)(146700,147200)	Mt	146950	501	0.109583
(146798,147297)(146800,147299)(146800,147300)	Mt	147050	501	0.099019
(146898,147397)(146900,147399)(146900,147400)	Mt	147150	501	0.105501
(146998,147497)(147000,147499)(147000,147500)	Mt	147250	501	0.106471
(147098,147597)(147100,147599)(147100,147600)	Mt	147350	501	0.103946
(147198,147697)(147200,147699)(147200,147700)	Mt	147450	501	0.107565
(147298,147797)(147300,147799)(147300,147800)	Mt	147550	501	0.109427
(147398,147897)(147400,147899)(147400,147900)	Mt	147650	501	0.107307
(147498,147997)(147500,147999)(147500,148000)	Mt	147750	501	0.110281
(147598,148097)(147600,148099)(147600,148100)	Mt	147850	501	0.109814
(147698,148197)(147700,148199)(147700,148200)	Mt	147950	501	0.108699
(147798,148297)(147800,148299)(147800,148300)	Mt	148050	501	0.111055
(147898,148397)(147900,148399)(147900,148400)	Mt	148150	501	0.101220
(147998,148497)(148000,148499)(148000,148500)	Mt	148250	501	0.097749
(148098,148597)(148100,148599)(148100,148600)	Mt	148350	501	0.100456
(148198,148697)(148200,148699)(148200,148700)	Mt	148450	501	0.103199
(148298,148797)(148300,148799)(148300,148800)	Mt	148550	501	0.096159
(148398,148897)(148400,148899)(148400,148900)	Mt	148650	501	0.107686
(148498,148997)(148500,148999)(148500,149000)	Mt	148750	501	0.109924
(148598,149097)(148600,149099)(148600,149100)	Mt	148850	501	0.109523
(148698,149197)(148700,149199)(148700,149200)	Mt	148950	501	0.115407
(148798,149297)(148800,149299)(148800,149300)	Mt	149050	501	0.120474
(148898,149397)(148900,149399)(148900,149400)	Mt	149150	501	0.126346
(148998,149497)(149000,149499)(149000,149500)	Mt	149250	501	0.124786
(149098,149597)(149100,149599)(149100,149600)	Mt	149350	501	0.125682
(149198,149697)(149200,149699)(149200,149700)	Mt	149450	501	0.115575
(149298,149797)(149300,149799)(149300,149800)	Mt	149550	501	0.107609
(149398,149897)(149400,149899)(149400,149900)	Mt	149650	501	0.098620
(149498,149997)(149500,149999)(149500,150000)	Mt	149750	501	0.097534
(149598,150097)(149600,150099)(149600,150100)	Mt	149850	501	0.088805
(149698,150197)(149700,150199)(149700,150200)	Mt	149950	501	0.091913
(149798,150297)(149800,150299)(149800,150300)	Mt	150050	501	0.095526
(149898,150397)(149900,150399)(149900,150400)	Mt	150150	501	0.098275
(149998,150497)(150000,150499)(150000,150500)	Mt	150250	501	0.094628
(150098,150597)(150100,150599)(150100,150600)	Mt	150350	501	0.102328
(150198,150697)(150200,150699)(150200,150700)	Mt	150450	501	0.099295
(150298,150797)(150300,150799)(150300,150800)	Mt	150550	501	0.118298
(150398,150897)(150400,150899)(150400,150900)	Mt	150650	501	0.121407
(150498,150997)(150500,150999)(150500,151000)	Mt	150750	501	0.120333
(150598,151097)(150600,151099)(150600,151100)	Mt	150850	501	0.120175
(150698,151197)(150700,151199)(150700,151200)	Mt	150950	501	0.122658
(150798,151297)(150800,151299)(150800,151300)	Mt	151050	501	0.107595
(150898,151397)(150900,151399)(150900,151400)	Mt	151150	501	0.099524
(150998,151497)(151000,151499)(151000,151500)	Mt	151250	501	0.101425
(151098,151597)(151100,151599)(151100,151600)	Mt	151350	501	0.100736
(151198,151697)(151200,151699)(151200,151700)	Mt	151450	501	0.106680
(151298,151797)(151300,151799)(151300,151800)	Mt	151550	501	0.108199
(151398,151897)(151400,151899)(151400,151900)	Mt	151650	501	0.109295
(151498,151997)(151500,151999)(151500,152000)	Mt	151750	501	0.112418
(151598,152097)(151600,152099)(151600,152100)	Mt	151850	501	0.115323
(151698,152197)(151700,152199)(151700,152200)	Mt	151950	501	0.111384
(151798,152297)(151800,152299)(151800,152300)	Mt	152050	501	0.108973
(151898,152397)(151900,152399)(151900,152400)	Mt	152150	501	0.110720
(151998,152497)(152000,152499)(152000,152500)	Mt	152250	501	0.109550
(152098,152597)(152100,152599)(152100,152600)	Mt	152350	501	0.099935
(152198,152697)(152200,152699)(152200,152700)	Mt	152450	501	0.105058
(152298,152797)(152300,152799)(152300,152800)	Mt	152550	501	0.106491
(152398,152897)(152400,152899)(152400,152900)	Mt	152650	501	0.108717
(152498,152997)(152500,152999)(152500,153000)	Mt	152750	501	0.105457
(152598,153097)(152600,153099)(152600,153100)	Mt	152850	501	0.109118
(152698,153197)(152700,153199)(152700,153200)	Mt	152950	501	0.100513
(152798,153297)(152800,153299)(152800,153300)	Mt	153050	501	0.097939
(152898,153397)(152900,153399)(152900,153400)	Mt	153150	501	0.102742
(152998,153497)(153000,153499)(153000,153500)	Mt	153250	501	0.100900
(153098,153597)(153100,153599)(153100,153600)	Mt	153350	501	0.105672
(153198,153697)(153200,153699)(153200,153700)	Mt	153450	501	0.111731
(153298,153797)(153300,153799)(153300,153800)	Mt	153550	501	0.113575
(153398,153897)(153400,153899)(153400,153900)	Mt	153650	501	0.098234
(153498,153997)(153500,153999)(153500,154000)	Mt	153750	501	0.105138
(153598,154097)(153600,154099)(153600,154100)	Mt	153850	501	0.109092
(153698,154197)(153700,154199)(153700,154200)	Mt	153950	501	0.113463
(153798,154297)(153800,154299)(153800,154300)	Mt	154050	501	0.108647
(153898,154397)(153900,154399)(153900,154400)	Mt	154150	501	0.116203
(153998,154497)(154000,154499)(154000,154500)	Mt	154250	501	0.102868
(154098,154597)(154100,154599)(154100,154600)	Mt	154350	501	0.092727
(154198,154697)(154200,154699)(154200,154700)	Mt	154450	501	0.086178
(154298,154797)(154300,154799)(154300,154800)	Mt	154550	501	0.087818
(154398,154897)(154400,154899)(154400,154900)	Mt	154650	501	0.085454
(154498,154997)(154500,154999)(154500,155000)	Mt	154750	501	0.098054
(154598,155097)(154600,155099)(154600,155100)	Mt	154850	501	0.095270
(154698,155197)(154700,155199)(154700,155200)	Mt	154950	501	0.096368
(154798,155297)(154800,155299)(154800,155300)	Mt	155050	501	0.107620
(154898,155397)(154900,155399)(154900,155400)	Mt	155150	501	0.108328
(154998,155497)(155000,155499)(155000,155500)	Mt	155250	501	0.104688
(155098,155597)(155100,155599)(155100,155600)	Mt	155350	501	0.107845
(155198,155697)(155200,155699)(155200,155700)	Mt	155450	501	0.106922
(155298,155797)(155300,155799)(155300,155800)	Mt	155550	501	0.093983
(155398,155897)(155400,155899)(155400,155900)	Mt	155650	501	0.103708
(155498,155997)(155500,155999)(155500,156000)	Mt	155750	501	0.103863
(155598,156097)(155600,156099)(155600,156100)	Mt	155850	501	0.104160
(155698,156197)(155700,156199)(155700,156200)	Mt	155950	501	0.101346
(155798,156297)(155800,156299)(155800,156300)	Mt	156050	501	0.105462
(155898,156397)(155900,156399)(155900,156400)	Mt	156150	501	0.094278
(155998,156497)(156000,156499)(156000,156500)	Mt	156250	501	0.095392
(156098,156597)(156100,156599)(156100,156600)	Mt	156350	501	0.095447
(156198,156697)(156200,156699)(156200,156700)	Mt	156450	501	0.093242
(156298,156797)(156300,156799)(156300,156800)	Mt	156550	501	0.090066
(156398,156897)(156400,156899)(156400,156900)	Mt	156650	501	0.096186
(156498,156997)(156500,156999)(156500,157000)	Mt	156750	501	0.090679
(156598,157097)(156600,157099)(156600,157100)	Mt	156850	501	0.097267
(156698,157197)(156700,157199)(156700,157200)	Mt	156950	501	0.099418
(156798,157297)(156800,157299)(156800,157300)	Mt	157050	501	0.108243
(156898,157397)(156900,157399)(156900,157400)	Mt	157150	501	0.107535
(156998,157497)(157000,157499)(157000,157500)	Mt	157250	501	0.117975
(157098,157597)(157100,157599)(157100,157600)	Mt	157350	501	0.112070
(157198,157697)(157200,157699)(157200,157700)	Mt	157450	501	0.122346
(157298,157797)(157300,157799)(157300,157800)	Mt	157550	501	0.121083
(157398,157897)(157400,157899)(157400,157900)	Mt	157650	501	0.124721
(157498,157997)(157500,157999)(157500,158000)	Mt	157750	501	0.111987
(157598,158097)(157600,158099)(157600,158100)	Mt	157850	501	0.116016
(157698,158197)(157700,158199)(157700,158200)	Mt	157950	501	0.117428
(157798,158297)(157800,158299)(157800,158300)	Mt	158050	501	0.111917
(157898,158397)(157900,158399)(157900,158400)	Mt	158150	501	0.106892
(157998,158497)(158000,158499)(158000,158500)	Mt	158250	501	0.108478
(158098,158597)(158100,158599)(158100,158600)	Mt	158350	501	0.112737
(158198,158697)(158200,158699)(158200,158700)	Mt	158450	501	0.100182
(158298,158797)(158300,158799)(158300,158800)	Mt	158550	501	0.098747
(158398,158897)(158400,158899)(158400,158900)	Mt	158650	501	0.094835
(158498,158997)(158500,158999)(158500,159000)	Mt	158750	501	0.101181
(158598,159097)(158600,159099)(158600,159100)	Mt	158850	501	0.087805
(158698,159197)(158700,159199)(158700,159200)	Mt	158950	501	0.094422
(158798,159297)(158800,159299)(158800,159300)	Mt	159050	501	0.098959
(158898,159397)(158900,159399)(158900,159400)	Mt	159150	501	0.105018
(158998,159497)(159000,159499)(159000,159500)	Mt	159250	501	0.103983
